u, fr
0.19995876182497122, 0.9888888888888889
0.4017637434107761, 0.5902777777777778
0.536244179661857, 0.19722222222222224
0.5311080243764524, 0.4930555555555556
0.6438392213389449, 0.46111111111111114
0.859348412452518, 0.22222222222222224
0.964552828266782, 0.18194444444444446
1.4450224958067057, 0.08888888888888889
2.1648270081168683, 0.04861111111111111
3.0908159536437676, 0.05277777777777778
4.007982437366323, 0.025
4.246236505811429, 0.04166666666666667
5.1973082380719235, 0.019444444444444445
