u, fr
0.16977942463585594, 0.9861111111111112
0.19240729127333353, 0.9930555555555556
0.22015964792871576, 0.7791666666666667
0.35794310582389216, 0.9277777777777778
0.5260210632680968, 0.41805555555555557
0.6018930536664296, 0.3736111111111111
0.6500655596126195, 0.14166666666666666
0.8389188603571957, 0.2555555555555556
1.2689610031679228, 0.12638888888888888
1.36394305330522, 0.11666666666666667
2.185762273956206, 0.07083333333333333
2.6117277269238697, 0.036111111111111115
3.0908159536437676, 0.05416666666666667
5.1973082380719235, 0.01388888888888889
